Sample,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,RawIntDen
dish2-roi-01,0.125,2145.16,645.385,1357,1231,3586,24.548,0.221,267.167,214516
dish2-roi-01,0.182,3206.199,1139.984,2041,1444,5656,21.261,0.311,582.997,468105
dish2-roi-01,0.238,1300.131,356.524,1149,773,2305,12.098,0.396,309.274,248325
dish2-roi-01,0.339,2177.728,621.251,1175,945,3556,61.736,0.676,737.726,592342
dish2-roi-01,0.093,1983.72,388.424,1296,1251,2686,22.182,0.485,185.295,148779
dish2-roi-01,0.125,2403.02,894.317,1343,1234,4288,23.312,0.507,299.282,240302
dish2-roi-01,0.019,1355.667,78.481,1230,1230,1511,19.108,0.427,25.326,20335
dish2-roi-01,0.177,3677.648,1523.637,2695,1374,6945,21.667,0.64,650.401,522226
dish2-roi-01,0.03,1517.208,238.369,1826,1079,1890,62.137,0.515,45.35,36413
dish2-roi-01,0.103,1509.337,255.633,1468,1176,2124,26.641,0.692,156.022,125275
dish2-roi-01,0.027,1346.455,105.369,1205,1205,1548,24.312,0.635,36.892,29622
dish2-roi-01,0.031,1630.72,155.68,1376,1376,1842,62.495,0.661,50.774,40768
dish2-roi-01,0.027,1159.455,90.362,1151,971,1311,63.304,0.767,31.769,25508
dish2-roi-01,0.007,1007.167,49.572,931,931,1056,60.877,0.759,7.526,6043
dish2-roi-01,0.115,1390.37,226.473,1300,960,1991,11.733,0.997,159.309,127914
dish2-roi-01,0.019,1597.6,77.088,1503,1503,1757,62.743,0.848,29.846,23964
dish2-roi-01,0.132,2255.255,898.015,1274,1231,4391,19.215,1.027,297.731,239057
dish2-roi-01,0.039,1076.452,137.674,847,847,1338,71.281,0.997,41.56,33370
dish2-roi-01,0.041,1571.152,193.299,1367,1244,1938,21.449,1.022,64.574,51848
dish2-roi-01,0.12,1962.865,419.029,1758,1332,2836,63.222,1.113,234.684,188435
dish2-roi-01,0.014,821.455,40.791,763,763,897,70.792,0.99,11.254,9036
dish2-roi-01,0.122,1768.888,382.939,1831,1037,2722,60.705,1.214,215.898,173351
dish2-roi-01,0.284,2952.583,750.774,3129,1847,4521,62.546,1.476,838.416,673189
dish2-roi-01,0.107,1453.535,475.586,1000,762,2396,13.257,1.353,155.685,125004
dish2-roi-01,0.088,1398.268,235.03,1213,988,1865,71.359,1.346,123.644,99277
dish2-roi-01,0.011,1039.333,34.22,969,969,1078,11.464,1.265,11.65,9354
dish2-roi-01,0.007,1237.167,54.909,1156,1156,1323,11.793,1.265,9.245,7423
dish2-roi-01,0.007,1213.167,24.612,1185,1185,1243,23.345,1.235,9.066,7279
dish2-roi-01,0.067,2521.13,378.117,2019,1912,3323,62.05,1.355,169.555,136141
dish2-roi-01,0.061,1043.633,160.9,830,803,1348,64.256,1.325,63.689,51138
dish2-roi-01,0.091,2104.384,513.376,1937,1254,3183,25.159,1.493,191.324,153620
dish2-roi-01,0.051,1124.195,107.645,854,854,1313,72.582,1.558,57.405,46092
dish2-roi-01,0.204,2256.055,836.735,1397,1202,4217,24.274,1.661,460.804,369993
dish2-roi-01,0.078,1164.254,159.908,862,838,1459,73.244,1.56,91.351,73348
dish2-roi-01,0.056,2710.067,546.791,2362,1776,3749,60.585,1.603,151.885,121953
dish2-roi-01,0.017,1288.5,71.977,1345,1171,1387,22.296,1.601,22.466,18039
dish2-roi-01,0.249,3437.36,1099.706,2336,1813,5829,61.579,1.778,856.205,687472
dish2-roi-01,0.118,3078.916,515.406,2465,2184,4049,60.923,1.772,364.287,292497
dish2-roi-01,0.045,1618,167.934,1514,1375,2013,12.336,1.699,72.544,58248
dish2-roi-01,0.041,1110.091,125.466,1049,884,1314,13.516,1.689,45.624,36633
dish2-roi-01,0.017,1432.286,81.372,1307,1307,1556,25.576,1.654,24.974,20052
dish2-roi-01,0.164,1985.636,628.493,1265,1024,3229,63.534,1.779,326.435,262104
dish2-roi-01,0.172,1882.572,461.454,1407,1151,3139,12.924,1.804,323.559,259795
dish2-roi-01,0.132,1597.698,274.265,1237,1091,2167,70.989,1.857,210.923,169356
dish2-roi-01,0.161,2577.953,753.533,2192,1306,3980,25.419,1.893,414.179,332556
dish2-roi-01,0.088,1803.845,453.893,1235,1153,2689,26.726,1.847,159.507,128073
dish2-roi-01,0.076,2849.934,422.262,3028,1925,3520,60.461,1.835,216.515,173846
dish2-roi-01,0.133,2378.692,526.568,2160,1449,3505,62.896,1.911,316.989,254520
dish2-roi-01,0.108,1920.471,445.637,1272,1254,2749,71.755,1.902,208.089,167081
dish2-roi-01,0.014,1526.091,77.708,1415,1415,1630,11.975,1.837,20.907,16787
dish2-roi-01,0.148,2693.739,621.855,1618,1513,3872,25.011,2.068,399.232,320555
dish2-roi-01,0.047,1447.974,186.56,1207,1101,1756,11.441,1.986,68.528,55023
dish2-roi-01,0.026,2021.667,245.554,1729,1524,2404,60.15,1.954,52.875,42455
dish2-roi-01,0.056,1182.6,172.99,1118,853,1468,70.17,2.002,66.279,53217
dish2-roi-01,0.141,1804.761,346.684,1372,1322,2564,72.116,2.157,253.993,203938
dish2-roi-01,0.106,1795.976,296.144,1602,1260,2295,72.646,2.062,190.126,152658
dish2-roi-01,0.029,1110.913,125.6,915,915,1363,13.763,2.026,31.822,25551
dish2-roi-01,0.022,820,61.024,742,742,925,10.428,2.012,18.383,14760
dish2-roi-01,0.091,3054.123,390.716,3481,2388,3692,60.772,2.13,277.672,222951
dish2-roi-01,0.451,2316.489,686.487,1622,854,3651,73.516,2.3,1044.387,838569
dish2-roi-01,0.12,2247.75,468.29,1907,1431,3085,12.257,2.177,268.746,215784
dish2-roi-01,0.219,2450.511,1049.718,1086,871,4865,59.995,2.262,537.146,431290
dish2-roi-01,0.125,1562.19,273.162,1245,1057,2178,11.44,2.273,194.561,156219
dish2-roi-01,0.09,2242.139,476.082,1779,1381,3224,62.405,2.322,201.056,161434
dish2-roi-01,0.09,1608.028,267.308,1396,1163,2194,71.3,2.318,144.195,115778
dish2-roi-01,0.012,2334.7,86.369,2203,2203,2456,61.099,2.262,29.077,23347
dish2-roi-01,0.103,1441.976,297.883,1130,947,2047,69.739,2.462,149.059,119684
dish2-roi-01,0.035,1664.964,190.495,1676,1330,1926,22.41,2.4,58.061,46619
dish2-roi-01,0.243,2250.226,520.574,1381,1221,3564,12.443,2.675,546.492,438794
dish2-roi-01,0.157,2925.516,542.947,2684,1888,3990,25.534,2.503,459.088,368615
dish2-roi-01,0.704,5135.527,1750.945,2894,1327,9499,22.09,3.033,3613.735,2901573
dish2-roi-01,0.157,2153.365,384.552,1658,1474,2835,62.018,2.62,337.918,271324
dish2-roi-01,0.083,1144.06,180.307,879,791,1463,14.088,2.555,95.465,76652
dish2-roi-01,0.049,1428.769,164.482,1242,1207,1762,70.369,2.521,69.398,55722
dish2-roi-01,0.121,1386.835,344.537,1010,852,2045,10.927,2.642,167.54,134523
dish2-roi-01,0.064,1215.49,152.176,1079,849,1459,11.428,2.647,77.205,61990
dish2-roi-01,0.23,3073.097,886.688,2251,1670,5306,60.53,2.713,708.061,568523
dish2-roi-01,0.128,2205.233,740.025,1192,1192,3863,20.517,2.674,282.888,227139
dish2-roi-01,0.095,1664.763,241.314,1788,1204,2172,13.604,2.718,157.576,126522
dish2-roi-01,0.014,2060.636,143.951,1834,1834,2258,61.674,2.629,28.23,22667
dish2-roi-01,0.027,1463.318,138.097,1249,1249,1734,71.931,2.612,40.094,32193
dish2-roi-01,0.019,1670.267,127.507,1486,1486,1891,13.176,2.636,31.203,25054
