sp|P11474|ERR1_HUMAN	cf7275554bf5d843811badb432d949ac	423	MobiDBLite	mobidb-lite	consensus disorder prediction	1	67	-	T	23-12-2023	-	-	-	-
sp|P11474|ERR1_HUMAN	cf7275554bf5d843811badb432d949ac	423	Pfam	PF00105	Zinc finger, C4 type (two domains)	78	146	2.3E-27	T	23-12-2023	IPR001628	Zinc finger, nuclear hormone receptor-type	GO:0003700(InterPro)|GO:0006355(InterPro)|GO:0008270(InterPro)|GO:0043565(InterPro)	MetaCyc:PWY-1061|MetaCyc:PWY-2083|MetaCyc:PWY-3542|MetaCyc:PWY-4021|MetaCyc:PWY-4161|MetaCyc:PWY-4202|MetaCyc:PWY-5059|MetaCyc:PWY-5105|MetaCyc:PWY-5301|MetaCyc:PWY-5305|MetaCyc:PWY-5479|MetaCyc:PWY-5665|MetaCyc:PWY-5729|MetaCyc:PWY-5748|MetaCyc:PWY-5765|MetaCyc:PWY-5773|MetaCyc:PWY-5846|MetaCyc:PWY-5883|MetaCyc:PWY-5975|MetaCyc:PWY-5987|MetaCyc:PWY-601|MetaCyc:PWY-6045|MetaCyc:PWY-6148|MetaCyc:PWY-6153|MetaCyc:PWY-6154|MetaCyc:PWY-6286|MetaCyc:PWY-6310|MetaCyc:PWY-6339|MetaCyc:PWY-6346|MetaCyc:PWY-6427|MetaCyc:PWY-6442|MetaCyc:PWY-6477|MetaCyc:PWY-6581|MetaCyc:PWY-6682|MetaCyc:PWY-6736|MetaCyc:PWY-6739|MetaCyc:PWY-6795|MetaCyc:PWY-6835|MetaCyc:PWY-6955|MetaCyc:PWY-6973|MetaCyc:PWY-6976|MetaCyc:PWY-6978|MetaCyc:PWY-7025|MetaCyc:PWY-7045|MetaCyc:PWY-7055|MetaCyc:PWY-7058|MetaCyc:PWY-7072|MetaCyc:PWY-7076|MetaCyc:PWY-7079|MetaCyc:PWY-7100|MetaCyc:PWY-7104|MetaCyc:PWY-7135|MetaCyc:PWY-7150|MetaCyc:PWY-7151|MetaCyc:PWY-7155|MetaCyc:PWY-7157|MetaCyc:PWY-7160|MetaCyc:PWY-7161|MetaCyc:PWY-7163|MetaCyc:PWY-7186|MetaCyc:PWY-7285|MetaCyc:PWY-7298|MetaCyc:PWY-7301|MetaCyc:PWY-7325|MetaCyc:PWY-7363|MetaCyc:PWY-7439|MetaCyc:PWY-7440|MetaCyc:PWY-7483|MetaCyc:PWY-7485|MetaCyc:PWY-7498|MetaCyc:PWY-7517|MetaCyc:PWY-7533|MetaCyc:PWY-7534|MetaCyc:PWY-7547|MetaCyc:PWY-7564|MetaCyc:PWY-7569|MetaCyc:PWY-7570|MetaCyc:PWY-7591|MetaCyc:PWY-7607|MetaCyc:PWY-7608|MetaCyc:PWY-7614|MetaCyc:PWY-7629|MetaCyc:PWY-7631|MetaCyc:PWY-7643|MetaCyc:PWY-7653|MetaCyc:PWY-7655|MetaCyc:PWY-7659|MetaCyc:PWY-7661|MetaCyc:PWY-7667|MetaCyc:PWY-7668|MetaCyc:PWY-7669|MetaCyc:PWY-7671|MetaCyc:PWY-7673|MetaCyc:PWY-7689|MetaCyc:PWY-7691|MetaCyc:PWY-7692|MetaCyc:PWY-7695|MetaCyc:PWY-7705|MetaCyc:PWY-7717|MetaCyc:PWY-7729|MetaCyc:PWY-7735|MetaCyc:PWY-7737|MetaCyc:PWY-7739|MetaCyc:PWY-7741|MetaCyc:PWY-7742|MetaCyc:PWY-7743|MetaCyc:PWY-7745|MetaCyc:PWY-7751|MetaCyc:PWY-7765|MetaCyc:PWY-7811|MetaCyc:PWY-7826|MetaCyc:PWY-7977|MetaCyc:PWY-8031|MetaCyc:PWY-8035|MetaCyc:PWY-8036|MetaCyc:PWY-8040|MetaCyc:PWY-8047|MetaCyc:PWY-8076|MetaCyc:PWY-8077|MetaCyc:PWY-8095|MetaCyc:PWY-8096|MetaCyc:PWY-8100|MetaCyc:PWY-8103|MetaCyc:PWY-8104|MetaCyc:PWY-8122|MetaCyc:PWY-8172|MetaCyc:PWY-8210|MetaCyc:PWY-8212|MetaCyc:PWY-8238|MetaCyc:PWY-8257|MetaCyc:PWY-8326|MetaCyc:PWY-8327|MetaCyc:PWY-8361|MetaCyc:PWY-8364|MetaCyc:PWY-8367|MetaCyc:PWY-8368|MetaCyc:PWY-8379|MetaCyc:PWY-8380|MetaCyc:PWY-8381|MetaCyc:PWY-8424|MetaCyc:PWY-8426|MetaCyc:PWY-8437|MetaCyc:PWY-8438|MetaCyc:PWY-8463|MetaCyc:PWYG-321|Reactome:R-BTA-1251985|Reactome:R-BTA-1257604|Reactome:R-BTA-381340|Reactome:R-BTA-383280|Reactome:R-BTA-4090294|Reactome:R-BTA-5362517|Reactome:R-BTA-5689896|Reactome:R-BTA-6811558|Reactome:R-BTA-8866427|Reactome:R-BTA-8866910|Reactome:R-BTA-8931987|Reactome:R-BTA-8939211|Reactome:R-BTA-9009391|Reactome:R-BTA-9018519|Reactome:R-BTA-9029569|Reactome:R-BTA-9623433|Reactome:R-CEL-196791|Reactome:R-CEL-198693|Reactome:R-CEL-381340|Reactome:R-CEL-383280|Reactome:R-CEL-4090294|Reactome:R-CFA-198693|Reactome:R-CFA-200425|Reactome:R-CFA-204174|Reactome:R-CFA-383280|Reactome:R-CFA-400206|Reactome:R-CFA-5362517|Reactome:R-CFA-9707564|Reactome:R-DME-159418|Reactome:R-DME-196791|Reactome:R-DME-198693|Reactome:R-DME-200425|Reactome:R-DME-204174|Reactome:R-DME-381340|Reactome:R-DME-383280|Reactome:R-DME-400206|Reactome:R-DME-4090294|Reactome:R-DME-5362517|Reactome:R-DME-8866427|Reactome:R-DME-8936459|Reactome:R-DME-8939236|Reactome:R-DME-9029569|Reactome:R-DME-9616222|Reactome:R-DME-9623433|Reactome:R-DME-9707564|Reactome:R-DME-9772755|Reactome:R-DRE-1251985|Reactome:R-DRE-1257604|Reactome:R-DRE-159418|Reactome:R-DRE-192105|Reactome:R-DRE-193368|Reactome:R-DRE-193807|Reactome:R-DRE-196791|Reactome:R-DRE-200425|Reactome:R-DRE-204174|Reactome:R-DRE-211976|Reactome:R-DRE-381340|Reactome:R-DRE-383280|Reactome:R-DRE-400206|Reactome:R-DRE-4090294|Reactome:R-DRE-5362517|Reactome:R-DRE-5689896|Reactome:R-DRE-6811558|Reactome:R-DRE-8866910|Reactome:R-DRE-8931987|Reactome:R-DRE-8939211|Reactome:R-DRE-9009391|Reactome:R-DRE-9018519|Reactome:R-DRE-9029569|Reactome:R-DRE-9616222|Reactome:R-DRE-9623433|Reactome:R-DRE-9707564|Reactome:R-GGA-383280|Reactome:R-GGA-4090294|Reactome:R-GGA-5362517|Reactome:R-GGA-9616222|Reactome:R-HSA-1251985|Reactome:R-HSA-1257604|Reactome:R-HSA-1368071|Reactome:R-HSA-1368082|Reactome:R-HSA-1368108|Reactome:R-HSA-159418|Reactome:R-HSA-192105|Reactome:R-HSA-193368|Reactome:R-HSA-193807|Reactome:R-HSA-196791|Reactome:R-HSA-198693|Reactome:R-HSA-1989781|Reactome:R-HSA-200425|Reactome:R-HSA-204174|Reactome:R-HSA-210745|Reactome:R-HSA-210747|Reactome:R-HSA-211976|Reactome:R-HSA-2151201|Reactome:R-HSA-2219530|Reactome:R-HSA-2426168|Reactome:R-HSA-2892247|Reactome:R-HSA-3371497|Reactome:R-HSA-381340|Reactome:R-HSA-383280|Reactome:R-HSA-400206|Reactome:R-HSA-400253|Reactome:R-HSA-4090294|Reactome:R-HSA-452723|Reactome:R-HSA-5362517|Reactome:R-HSA-5617472|Reactome:R-HSA-5625886|Reactome:R-HSA-5674400|Reactome:R-HSA-5689880|Reactome:R-HSA-5689896|Reactome:R-HSA-6785807|Reactome:R-HSA-6811558|Reactome:R-HSA-8849473|Reactome:R-HSA-8866427|Reactome:R-HSA-8866910|Reactome:R-HSA-8931987|Reactome:R-HSA-8936459|Reactome:R-HSA-8939211|Reactome:R-HSA-8939256|Reactome:R-HSA-8939902|Reactome:R-HSA-8940973|Reactome:R-HSA-8943724|Reactome:R-HSA-8949275|Reactome:R-HSA-9009391|Reactome:R-HSA-9018519|Reactome:R-HSA-9022707|Reactome:R-HSA-9029558|Reactome:R-HSA-9029569|Reactome:R-HSA-9031525|Reactome:R-HSA-9031528|Reactome:R-HSA-9615017|Reactome:R-HSA-9616222|Reactome:R-HSA-9623433|Reactome:R-HSA-9632974|Reactome:R-HSA-9679191|Reactome:R-HSA-9690406|Reactome:R-HSA-9707564|Reactome:R-HSA-9707616|Reactome:R-HSA-9768777|Reactome:R-MMU-1251985|Reactome:R-MMU-1257604|Reactome:R-MMU-159418|Reactome:R-MMU-192105|Reactome:R-MMU-193368|Reactome:R-MMU-193807|Reactome:R-MMU-196791|Reactome:R-MMU-198693|Reactome:R-MMU-200425|Reactome:R-MMU-204174|Reactome:R-MMU-211976|Reactome:R-MMU-3371497|Reactome:R-MMU-381340|Reactome:R-MMU-383280|Reactome:R-MMU-400206|Reactome:R-MMU-4090294|Reactome:R-MMU-5362517|Reactome:R-MMU-5625886|Reactome:R-MMU-5689880|Reactome:R-MMU-5689896|Reactome:R-MMU-6811558|Reactome:R-MMU-8866427|Reactome:R-MMU-8866910|Reactome:R-MMU-8931987|Reactome:R-MMU-8939211|Reactome:R-MMU-8940973|Reactome:R-MMU-9009391|Reactome:R-MMU-9018519|Reactome:R-MMU-9029569|Reactome:R-MMU-9616222|Reactome:R-MMU-9623433|Reactome:R-MMU-9707564|Reactome:R-RNO-1251985|Reactome:R-RNO-1257604|Reactome:R-RNO-159418|Reactome:R-RNO-192105|Reactome:R-RNO-193368|Reactome:R-RNO-193807|Reactome:R-RNO-196791|Reactome:R-RNO-198693|Reactome:R-RNO-200425|Reactome:R-RNO-204174|Reactome:R-RNO-211976|Reactome:R-RNO-3371497|Reactome:R-RNO-381340|Reactome:R-RNO-383280|Reactome:R-RNO-400206|Reactome:R-RNO-4090294|Reactome:R-RNO-5362517|Reactome:R-RNO-5625886|Reactome:R-RNO-5689880|Reactome:R-RNO-5689896|Reactome:R-RNO-6811558|Reactome:R-RNO-8866427|Reactome:R-RNO-8866910|Reactome:R-RNO-8931987|Reactome:R-RNO-8939211|Reactome:R-RNO-9009391|Reactome:R-RNO-9018519|Reactome:R-RNO-9029569|Reactome:R-RNO-9616222|Reactome:R-RNO-9623433|Reactome:R-RNO-9707564|Reactome:R-SSC-1251985|Reactome:R-SSC-1257604|Reactome:R-SSC-196791|Reactome:R-SSC-381340|Reactome:R-SSC-383280|Reactome:R-SSC-5362517|Reactome:R-SSC-5689896|Reactome:R-SSC-6811558|Reactome:R-SSC-8866910|Reactome:R-SSC-8931987|Reactome:R-SSC-8939211|Reactome:R-SSC-9009391|Reactome:R-SSC-9018519|Reactome:R-XTR-383280
sp|P11474|ERR1_HUMAN	cf7275554bf5d843811badb432d949ac	423	Pfam	PF00104	Ligand-binding domain of nuclear hormone receptor	226	395	2.3E-25	T	23-12-2023	IPR000536	Nuclear hormone receptor, ligand-binding domain	-	Reactome:R-BTA-1251985|Reactome:R-BTA-1257604|Reactome:R-BTA-381340|Reactome:R-BTA-383280|Reactome:R-BTA-4090294|Reactome:R-BTA-5362517|Reactome:R-BTA-5689896|Reactome:R-BTA-6811558|Reactome:R-BTA-8866427|Reactome:R-BTA-8866910|Reactome:R-BTA-8931987|Reactome:R-BTA-8939211|Reactome:R-BTA-9009391|Reactome:R-BTA-9018519|Reactome:R-BTA-9029569|Reactome:R-BTA-9623433|Reactome:R-CEL-196791|Reactome:R-CEL-198693|Reactome:R-CEL-381340|Reactome:R-CEL-383280|Reactome:R-CEL-4090294|Reactome:R-CFA-198693|Reactome:R-CFA-200425|Reactome:R-CFA-204174|Reactome:R-CFA-383280|Reactome:R-CFA-400206|Reactome:R-CFA-5362517|Reactome:R-CFA-9707564|Reactome:R-DME-159418|Reactome:R-DME-196791|Reactome:R-DME-198693|Reactome:R-DME-200425|Reactome:R-DME-204174|Reactome:R-DME-381340|Reactome:R-DME-383280|Reactome:R-DME-400206|Reactome:R-DME-4090294|Reactome:R-DME-5362517|Reactome:R-DME-8866427|Reactome:R-DME-9029569|Reactome:R-DME-9616222|Reactome:R-DME-9623433|Reactome:R-DME-9707564|Reactome:R-DRE-1251985|Reactome:R-DRE-1257604|Reactome:R-DRE-159418|Reactome:R-DRE-192105|Reactome:R-DRE-193368|Reactome:R-DRE-193807|Reactome:R-DRE-196791|Reactome:R-DRE-200425|Reactome:R-DRE-204174|Reactome:R-DRE-211976|Reactome:R-DRE-381340|Reactome:R-DRE-383280|Reactome:R-DRE-400206|Reactome:R-DRE-4090294|Reactome:R-DRE-5362517|Reactome:R-DRE-5689896|Reactome:R-DRE-6811558|Reactome:R-DRE-8866910|Reactome:R-DRE-8931987|Reactome:R-DRE-8939211|Reactome:R-DRE-9009391|Reactome:R-DRE-9018519|Reactome:R-DRE-9029569|Reactome:R-DRE-9616222|Reactome:R-DRE-9623433|Reactome:R-DRE-9707564|Reactome:R-GGA-383280|Reactome:R-GGA-4090294|Reactome:R-GGA-5362517|Reactome:R-GGA-9616222|Reactome:R-HSA-1251985|Reactome:R-HSA-1257604|Reactome:R-HSA-1368071|Reactome:R-HSA-1368082|Reactome:R-HSA-1368108|Reactome:R-HSA-159418|Reactome:R-HSA-192105|Reactome:R-HSA-193368|Reactome:R-HSA-193807|Reactome:R-HSA-196791|Reactome:R-HSA-198693|Reactome:R-HSA-1989781|Reactome:R-HSA-200425|Reactome:R-HSA-204174|Reactome:R-HSA-210745|Reactome:R-HSA-210747|Reactome:R-HSA-211976|Reactome:R-HSA-2151201|Reactome:R-HSA-2219530|Reactome:R-HSA-2426168|Reactome:R-HSA-2892247|Reactome:R-HSA-3371497|Reactome:R-HSA-381340|Reactome:R-HSA-383280|Reactome:R-HSA-400206|Reactome:R-HSA-400253|Reactome:R-HSA-4090294|Reactome:R-HSA-452723|Reactome:R-HSA-5362517|Reactome:R-HSA-5617472|Reactome:R-HSA-5625886|Reactome:R-HSA-5674400|Reactome:R-HSA-5689880|Reactome:R-HSA-5689896|Reactome:R-HSA-6785807|Reactome:R-HSA-6811558|Reactome:R-HSA-8849473|Reactome:R-HSA-8866427|Reactome:R-HSA-8866910|Reactome:R-HSA-8931987|Reactome:R-HSA-8936459|Reactome:R-HSA-8939211|Reactome:R-HSA-8939256|Reactome:R-HSA-8939902|Reactome:R-HSA-8940973|Reactome:R-HSA-8943724|Reactome:R-HSA-8949275|Reactome:R-HSA-9009391|Reactome:R-HSA-9018519|Reactome:R-HSA-9022707|Reactome:R-HSA-9029558|Reactome:R-HSA-9029569|Reactome:R-HSA-9031525|Reactome:R-HSA-9031528|Reactome:R-HSA-9615017|Reactome:R-HSA-9616222|Reactome:R-HSA-9623433|Reactome:R-HSA-9632974|Reactome:R-HSA-9679191|Reactome:R-HSA-9690406|Reactome:R-HSA-9707564|Reactome:R-HSA-9707616|Reactome:R-HSA-9768777|Reactome:R-MMU-1251985|Reactome:R-MMU-1257604|Reactome:R-MMU-159418|Reactome:R-MMU-192105|Reactome:R-MMU-193368|Reactome:R-MMU-193807|Reactome:R-MMU-196791|Reactome:R-MMU-198693|Reactome:R-MMU-200425|Reactome:R-MMU-204174|Reactome:R-MMU-211976|Reactome:R-MMU-3371497|Reactome:R-MMU-381340|Reactome:R-MMU-383280|Reactome:R-MMU-400206|Reactome:R-MMU-4090294|Reactome:R-MMU-5362517|Reactome:R-MMU-5625886|Reactome:R-MMU-5689880|Reactome:R-MMU-5689896|Reactome:R-MMU-6811558|Reactome:R-MMU-8866427|Reactome:R-MMU-8866910|Reactome:R-MMU-8931987|Reactome:R-MMU-8939211|Reactome:R-MMU-8940973|Reactome:R-MMU-9009391|Reactome:R-MMU-9018519|Reactome:R-MMU-9029569|Reactome:R-MMU-9616222|Reactome:R-MMU-9623433|Reactome:R-MMU-9707564|Reactome:R-RNO-1251985|Reactome:R-RNO-1257604|Reactome:R-RNO-159418|Reactome:R-RNO-192105|Reactome:R-RNO-193368|Reactome:R-RNO-193807|Reactome:R-RNO-196791|Reactome:R-RNO-198693|Reactome:R-RNO-200425|Reactome:R-RNO-204174|Reactome:R-RNO-211976|Reactome:R-RNO-3371497|Reactome:R-RNO-381340|Reactome:R-RNO-383280|Reactome:R-RNO-400206|Reactome:R-RNO-4090294|Reactome:R-RNO-5362517|Reactome:R-RNO-5625886|Reactome:R-RNO-5689880|Reactome:R-RNO-5689896|Reactome:R-RNO-6811558|Reactome:R-RNO-8866427|Reactome:R-RNO-8866910|Reactome:R-RNO-8931987|Reactome:R-RNO-8939211|Reactome:R-RNO-9009391|Reactome:R-RNO-9018519|Reactome:R-RNO-9029569|Reactome:R-RNO-9616222|Reactome:R-RNO-9623433|Reactome:R-RNO-9707564|Reactome:R-SSC-1251985|Reactome:R-SSC-1257604|Reactome:R-SSC-196791|Reactome:R-SSC-381340|Reactome:R-SSC-383280|Reactome:R-SSC-5362517|Reactome:R-SSC-5689896|Reactome:R-SSC-6811558|Reactome:R-SSC-8866910|Reactome:R-SSC-8931987|Reactome:R-SSC-8939211|Reactome:R-SSC-9009391|Reactome:R-SSC-9018519|Reactome:R-XTR-383280
sp|Q86UA6|RIP_HUMAN	26735c0611f289911a767ea9160f1908	219	Pfam	PF14768	Replication protein A interacting C-terminal	136	216	6.8E-20	T	23-12-2023	IPR028159	RPA-interacting protein, C-terminal domain	-	-
sp|Q86UA6|RIP_HUMAN	26735c0611f289911a767ea9160f1908	219	Pfam	PF14766	Replication protein A interacting N-terminal	8	47	2.8E-14	T	23-12-2023	IPR028158	RPA-interacting protein, N-terminal domain	-	-
sp|Q86UA6|RIP_HUMAN	26735c0611f289911a767ea9160f1908	219	Pfam	PF14767	Replication protein A interacting middle	60	126	6.6E-5	T	23-12-2023	IPR028155	RPA-interacting protein, central domain	-	-
sp|Q9UM82|SPAT2_HUMAN	d7bfb3bcb715c4f6682196e39941032c	520	Pfam	PF21388	Spermatogenesis-associated protein 2, PUB-like domain	15	207	2.0E-98	T	23-12-2023	IPR048839	Spermatogenesis-associated protein 2, PUB-like domain	-	Reactome:R-DRE-5357786|Reactome:R-DRE-5357905|Reactome:R-DRE-5357956|Reactome:R-HSA-5357786|Reactome:R-HSA-5357905|Reactome:R-HSA-5357956|Reactome:R-MMU-5357786|Reactome:R-MMU-5357905|Reactome:R-MMU-5357956|Reactome:R-RNO-5357786|Reactome:R-RNO-5357905|Reactome:R-RNO-5357956
sp|Q9UM82|SPAT2_HUMAN	d7bfb3bcb715c4f6682196e39941032c	520	MobiDBLite	mobidb-lite	consensus disorder prediction	301	323	-	T	23-12-2023	-	-	-	-
sp|Q9UM82|SPAT2_HUMAN	d7bfb3bcb715c4f6682196e39941032c	520	MobiDBLite	mobidb-lite	consensus disorder prediction	434	458	-	T	23-12-2023	-	-	-	-
sp|Q9H583|HEAT1_HUMAN	5de121fb4ad24c46dec4b9c9bf8b80a0	2144	Pfam	PF08146	BP28CT (NUC211) domain	1860	2011	1.4E-34	T	23-12-2023	IPR012954	BP28, C-terminal domain	-	Reactome:R-CEL-6791226|Reactome:R-DDI-6791226|Reactome:R-DME-6791226|Reactome:R-DRE-6791226|Reactome:R-HSA-6790901|Reactome:R-HSA-6791226|Reactome:R-SCE-6791226|Reactome:R-SPO-6791226
