From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (molecular function)
ANKRD31	A0A140LI88	reviewed	ANR31_MOUSE	Ankyrin repeat domain-containing protein 31	Ankrd31	Mus musculus (Mouse)	1857	
SPATA5L1	A0A7N9VSG0	reviewed	AFG2B_MOUSE	ATPase family gene 2 protein homolog B (EC 3.6.4.10) (AFG2 AAA ATPase homolog B) (Ribosome biogenesis protein SPATA5L1) (Spermatogenesis-associated protein 5-like protein 1)	Afg2b Spata5l1	Mus musculus (Mouse)	747	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; preribosome binding [GO:1990275]
VEPH1	A1A535	reviewed	MELT_MOUSE	Ventricular zone-expressed PH domain-containing protein 1 (Protein melted homolog)	Veph1 Veph	Mus musculus (Mouse)	833	phosphatidylinositol-5-phosphate binding [GO:0010314]
ZMYM4	A2A791	reviewed	ZMYM4_MOUSE	Zinc finger MYM-type protein 4 (Zinc finger protein 262)	Zmym4 Kiaa0425 Zfp262 Znf262	Mus musculus (Mouse)	1549	zinc ion binding [GO:0008270]
CKAP5	A2AGT5	reviewed	CKAP5_MOUSE	Cytoskeleton-associated protein 5	Ckap5	Mus musculus (Mouse)	2032	microtubule binding [GO:0008017]; microtubule plus end polymerase [GO:0061863]; microtubule plus-end binding [GO:0051010]; ribonucleoprotein complex binding [GO:0043021]
CHD7	A2AJK6	reviewed	CHD7_MOUSE	Chromodomain-helicase-DNA-binding protein 7 (CHD-7) (EC 3.6.4.12) (ATP-dependent helicase CHD7)	Chd7	Mus musculus (Mouse)	2986	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent chromatin remodeler activity [GO:0140658]; chromatin binding [GO:0003682]; DNA binding [GO:0003677]; helicase activity [GO:0004386]; histone binding [GO:0042393]; promoter-specific chromatin binding [GO:1990841]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]
TRMT1L	A2RSY6	reviewed	TRM1L_MOUSE	TRMT1-like protein (EC 2.1.1.-)	Trmt1l	Mus musculus (Mouse)	728	metal ion binding [GO:0046872]; tRNA (guanine(10)-N2)-methyltransferase activity [GO:0160102]; tRNA binding [GO:0000049]
CERCAM	A3KGW5	reviewed	GT253_MOUSE	Inactive glycosyltransferase 25 family member 3 (Cerebral endothelial cell adhesion molecule)	Cercam Ceecam1 Glt25d3	Mus musculus (Mouse)	592	identical protein binding [GO:0042802]
TTLL2	A4Q9E4	reviewed	TTLL2_MOUSE	Probable tubulin polyglutamylase TTLL2 (EC 6.-.-.-) (Tubulin--tyrosine ligase-like protein 2)	Ttll2	Mus musculus (Mouse)	540	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; tubulin binding [GO:0015631]; tubulin-glutamic acid ligase activity [GO:0070740]
NWD1	A6H603	reviewed	NWD1_MOUSE	NACHT domain- and WD repeat-containing protein 1	Nwd1	Mus musculus (Mouse)	1563	ATP binding [GO:0005524]
KCNB2	A6H8H5	reviewed	KCNB2_MOUSE	Potassium voltage-gated channel subfamily B member 2 (Voltage-gated potassium channel subunit Kv2.2)	Kcnb2	Mus musculus (Mouse)	907	delayed rectifier potassium channel activity [GO:0005251]; protein heterodimerization activity [GO:0046982]; transmembrane transporter binding [GO:0044325]
USP36	B1AQJ2	reviewed	UBP36_MOUSE	Ubiquitin carboxyl-terminal hydrolase 36 (EC 2.3.2.-) (EC 3.4.19.12) (Deubiquitinating enzyme 36) (Ubiquitin thioesterase 36) (Ubiquitin-specific-processing protease 36)	Usp36 Kiaa1453	Mus musculus (Mouse)	1098	cysteine-type deubiquitinase activity [GO:0004843]; histone H2B deubiquitinase activity [GO:0140936]; K48-linked deubiquitinase activity [GO:1990380]; RNA binding [GO:0003723]; transferase activity [GO:0016740]
SPOCD1	B1ASB6	reviewed	SPOC1_MOUSE	SPOC domain-containing protein 1	Spocd1	Mus musculus (Mouse)	1015	
ZCCHC7	B1AX39	reviewed	ZCHC7_MOUSE	Zinc finger CCHC domain-containing protein 7 (TRAMP-like complex RNA-binding factor ZCCHC7)	Zcchc7 D4Wsu132e	Mus musculus (Mouse)	541	RNA binding [GO:0003723]; zinc ion binding [GO:0008270]
NFX1	B1AY10	reviewed	NFX1_MOUSE	Transcriptional repressor NF-X1 (m-Nfx.1) (EC 2.3.2.-) (Nuclear transcription factor, X box-binding protein 1)	Nfx1	Mus musculus (Mouse)	1114	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; ubiquitin protein ligase activity [GO:0061630]; zinc ion binding [GO:0008270]
GPR161	B2RPY5	reviewed	GP161_MOUSE	G-protein coupled receptor 161	Gpr161 Gm208	Mus musculus (Mouse)	545	G protein-coupled receptor activity [GO:0004930]
USP42	B2RQC2	reviewed	UBP42_MOUSE	Ubiquitin carboxyl-terminal hydrolase 42 (EC 3.4.19.12) (Deubiquitinating enzyme 42) (Ubiquitin thioesterase 42) (Ubiquitin-specific-processing protease 42)	Usp42	Mus musculus (Mouse)	1324	cysteine-type deubiquitinase activity [GO:0004843]
GNAI1	B2RSH2	reviewed	GNAI1_MOUSE	Guanine nucleotide-binding protein G(i) subunit alpha-1 (Adenylate cyclase-inhibiting G alpha protein)	Gnai1 Gnai-1	Mus musculus (Mouse)	354	D2 dopamine receptor binding [GO:0031749]; G protein-coupled receptor binding [GO:0001664]; G protein-coupled serotonin receptor binding [GO:0031821]; G-protein beta/gamma-subunit complex binding [GO:0031683]; GDP binding [GO:0019003]; GTP binding [GO:0005525]; GTPase activating protein binding [GO:0032794]; GTPase activity [GO:0003924]; magnesium ion binding [GO:0000287]
PRR19	B2RW88	reviewed	PRR19_MOUSE	Proline-rich protein 19	Prr19	Mus musculus (Mouse)	366	
TUT4	B2RX14	reviewed	TUT4_MOUSE	Terminal uridylyltransferase 4 (TUTase 4) (EC 2.7.7.52) (Zinc finger CCHC domain-containing protein 11)	Tut4 Kiaa0191 Zcchc11	Mus musculus (Mouse)	1644	miRNA binding [GO:0035198]; RNA uridylyltransferase activity [GO:0050265]; uridylyltransferase activity [GO:0070569]; zinc ion binding [GO:0008270]
SYCE3	B5KM66	reviewed	SYCE3_MOUSE	Synaptonemal complex central element protein 3 (Testis-specific expressed protein 2) (TSEG-2)	Syce3 Tseg2	Mus musculus (Mouse)	88	
QTRT2	B8ZXI1	reviewed	QTRT2_MOUSE	Queuine tRNA-ribosyltransferase accessory subunit 2 (Queuine tRNA-ribosyltransferase domain-containing protein 1)	Qtrt2 Qtrtd1	Mus musculus (Mouse)	415	protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; tRNA binding [GO:0000049]; tRNA-guanosine(34) queuine transglycosylase activity [GO:0008479]; zinc ion binding [GO:0008270]
CATSPERG	C6KI89	reviewed	CTSG2_MOUSE	Cation channel sperm-associated auxiliary subunit gamma 2	Catsperg2 Catsperg	Mus musculus (Mouse)	1145	
SMIM20	D3Z7Q2	reviewed	SIM20_MOUSE	Small integral membrane protein 20 (Mitochondrial translation regulation assembly intermediate of cytochrome c oxidase protein of 7 kDa) (MITRAC7) [Cleaved into: Phoenixin-14 (PNX-14); Phoenixin-20 (PNX-20)]	Smim20	Mus musculus (Mouse)	69	
SOGA1	E1U8D0	reviewed	MTCL2_MOUSE	Microtubule cross-linking factor 2 (SOGA family member 1) (Suppressor of glucose by autophagy) (Suppressor of glucose, autophagy-associated protein 1) [Cleaved into: N-terminal form; C-terminal 80 kDa form (80-kDa SOGA fragment)]	Mtcl2 Soga Soga1	Mus musculus (Mouse)	1654	
CCDC171	E9Q1U1	reviewed	CC171_MOUSE	Coiled-coil domain-containing protein 171	Ccdc171	Mus musculus (Mouse)	1324	
ABCC4	E9Q236	reviewed	MRP4_MOUSE	ATP-binding cassette sub-family C member 4 (EC 7.6.2.-) (EC 7.6.2.2) (EC 7.6.2.3) (Multidrug resistance-associated protein 4)	Abcc4 Mrp4	Mus musculus (Mouse)	1325	ABC-type bile acid transporter activity [GO:0015432]; ABC-type glutathione S-conjugate transporter activity [GO:0015431]; ABC-type xenobiotic transporter activity [GO:0008559]; alcohol transmembrane transporter activity [GO:0015665]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATPase-coupled transmembrane transporter activity [GO:0042626]; efflux transmembrane transporter activity [GO:0015562]; glutathione transmembrane transporter activity [GO:0034634]; guanine nucleotide transmembrane transporter activity [GO:0001409]; prostaglandin transmembrane transporter activity [GO:0015132]; purine nucleotide transmembrane transporter activity [GO:0015216]; urate transmembrane transporter activity [GO:0015143]; xenobiotic transmembrane transporter activity [GO:0042910]
NOLC1	E9Q5C9	reviewed	NOLC1_MOUSE	Nucleolar and coiled-body phosphoprotein 1 (140 kDa nucleolar phosphoprotein) (Nopp140)	Nolc1 Kiaa0035	Mus musculus (Mouse)	702	box C/D RNA binding [GO:0034512]; box C/D snoRNP complex binding [GO:0062064]; box H/ACA snoRNA binding [GO:0034513]; box H/ACA snoRNP complex binding [GO:0062065]; molecular function inhibitor activity [GO:0140678]; nuclear localization sequence binding [GO:0008139]; protein domain specific binding [GO:0019904]; protein heterodimerization activity [GO:0046982]; protein kinase inhibitor activity [GO:0004860]; protein-macromolecule adaptor activity [GO:0030674]; TFIIB-class transcription factor binding [GO:0001093]
RNF169	E9Q7F2	reviewed	RN169_MOUSE	E3 ubiquitin-protein ligase RNF169 (EC 2.3.2.27) (RING finger protein 169) (RING-type E3 ubiquitin transferase RNF169)	Rnf169 Kiaa1991	Mus musculus (Mouse)	694	K63-linked polyubiquitin modification-dependent protein binding [GO:0070530]; metal ion binding [GO:0046872]; nucleosome binding [GO:0031491]; ubiquitin modification-dependent histone binding [GO:0061649]; ubiquitin-protein transferase activity [GO:0004842]
ABCA12	E9Q876	reviewed	ABCAC_MOUSE	Glucosylceramide transporter ABCA12 (EC 7.6.2.1) (ATP-binding cassette sub-family A member 12)	Abca12	Mus musculus (Mouse)	2595	ABC-type transporter activity [GO:0140359]; apolipoprotein A-I receptor binding [GO:0034191]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATPase-coupled intramembrane lipid transporter activity [GO:0140326]; ATPase-coupled transmembrane transporter activity [GO:0042626]; lipid transporter activity [GO:0005319]; signaling receptor binding [GO:0005102]
DNAJC21	E9Q8D0	reviewed	DJC21_MOUSE	DnaJ homolog subfamily C member 21	Dnajc21	Mus musculus (Mouse)	531	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]
SAMD15	F6XZJ7	reviewed	SAM15_MOUSE	Sterile alpha motif domain-containing protein 15 (SAM domain-containing protein 15)	Samd15 Gm263	Mus musculus (Mouse)	620	
KLF6	O08584	reviewed	KLF6_MOUSE	Krueppel-like factor 6 (Core promoter element-binding protein)	Klf6 Copeb Cpbp	Mus musculus (Mouse)	283	DNA binding [GO:0003677]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; double-stranded DNA binding [GO:0003690]; metal ion binding [GO:0046872]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific double-stranded DNA binding [GO:1990837]
FOXM1	O08696	reviewed	FOXM1_MOUSE	Forkhead box protein M1 (Forkhead homolog 16) (Winged-helix transcription factor Trident)	Foxm1 Fkh16	Mus musculus (Mouse)	760	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; protein kinase binding [GO:0019901]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; sequence-specific DNA binding [GO:0043565]; transcription cis-regulatory region binding [GO:0000976]
TNFRSF11B	O08712	reviewed	TR11B_MOUSE	Tumor necrosis factor receptor superfamily member 11B (Osteoclastogenesis inhibitory factor) (Osteoprotegerin)	Tnfrsf11b Ocif Opg	Mus musculus (Mouse)	401	
AMPD3	O08739	reviewed	AMPD3_MOUSE	AMP deaminase 3 (EC 3.5.4.6) (AMP deaminase H-type) (AMP deaminase isoform E) (Heart-type AMPD)	Ampd3	Mus musculus (Mouse)	766	AMP deaminase activity [GO:0003876]; metal ion binding [GO:0046872]
RLF	O09107	reviewed	INSL3_MOUSE	Insulin-like 3 (Leydig insulin-like peptide) (Ley-I-L) (Relaxin-like factor) [Cleaved into: Insulin-like 3 B chain; Insulin-like 3 A chain]	Insl3 Rlf	Mus musculus (Mouse)	122	G protein-coupled receptor binding [GO:0001664]; hormone activity [GO:0005179]; protease binding [GO:0002020]
LRRC23	O35125	reviewed	LRC23_MOUSE	Leucine-rich repeat-containing protein 23 (Leucine-rich protein B7)	Lrrc23 Lrpb7	Mus musculus (Mouse)	340	
NSMAF	O35242	reviewed	FAN_MOUSE	Protein FAN (Factor associated with neutral sphingomyelinase activation) (Factor associated with N-SMase activation)	Nsmaf Fan	Mus musculus (Mouse)	920	death receptor binding [GO:0005123]; signaling adaptor activity [GO:0035591]; sphingomyelin phosphodiesterase activator activity [GO:0016230]
SRSF5	O35326	reviewed	SRSF5_MOUSE	Serine/arginine-rich splicing factor 5 (Delayed-early protein HRS) (Pre-mRNA-splicing factor SRP40) (Splicing factor, arginine/serine-rich 5)	Srsf5 Hrs Sfrs5	Mus musculus (Mouse)	269	protein kinase B binding [GO:0043422]; RNA binding [GO:0003723]; RS domain binding [GO:0050733]
EXOC4	O35382	reviewed	EXOC4_MOUSE	Exocyst complex component 4 (Exocyst complex component Sec8)	Exoc4 Sec8 Sec8l1	Mus musculus (Mouse)	975	ionotropic glutamate receptor binding [GO:0035255]; PDZ domain binding [GO:0030165]; protein-containing complex binding [GO:0044877]
ATF6B	O35451	reviewed	ATF6B_MOUSE	Cyclic AMP-dependent transcription factor ATF-6 beta (cAMP-dependent transcription factor ATF-6 beta) (Activating transcription factor 6 beta) (ATF6-beta) (cAMP response element-binding protein-related protein) (Creb-rp) (cAMP-responsive element-binding protein-like 1) [Cleaved into: Processed cyclic AMP-dependent transcription factor ATF-6 beta]	Atf6b Crebl1	Mus musculus (Mouse)	699	DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific double-stranded DNA binding [GO:1990837]; transcription cis-regulatory region binding [GO:0000976]
C1D	O35473	reviewed	C1D_MOUSE	Nuclear nucleic acid-binding protein C1D (mC1D) (Small unique nuclear receptor corepressor) (Sun-CoR) (SunCoR)	C1d Suncor	Mus musculus (Mouse)	141	DNA binding [GO:0003677]; nuclear receptor binding [GO:0016922]; RNA binding [GO:0003723]; transcription corepressor activity [GO:0003714]
PTCH2	O35595	reviewed	PTC2_MOUSE	Protein patched homolog 2 (PTC2)	Ptch2	Mus musculus (Mouse)	1182	hedgehog family protein binding [GO:0097108]; hedgehog receptor activity [GO:0008158]; smoothened binding [GO:0005119]
AXIN1	O35625	reviewed	AXIN1_MOUSE	Axin-1 (Axis inhibition protein 1) (Protein Fused)	Axin1 Axin Fu	Mus musculus (Mouse)	863	armadillo repeat domain binding [GO:0070016]; beta-catenin binding [GO:0008013]; enzyme binding [GO:0019899]; I-SMAD binding [GO:0070411]; identical protein binding [GO:0042802]; molecular adaptor activity [GO:0060090]; p53 binding [GO:0002039]; protein domain specific binding [GO:0019904]; protein homodimerization activity [GO:0042803]; protein kinase binding [GO:0019901]; protein self-association [GO:0043621]; R-SMAD binding [GO:0070412]; signaling receptor binding [GO:0005102]; SMAD binding [GO:0046332]; ubiquitin ligase-substrate adaptor activity [GO:1990756]; ubiquitin protein ligase binding [GO:0031625]
