From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (molecular function)
TMEM120B	A0PK00	reviewed	T120B_HUMAN	Transmembrane protein 120B	TMEM120B	Homo sapiens (Human)	339	
ERICH2	A1L162	reviewed	ERIC2_HUMAN	Glutamate-rich protein 2	ERICH2	Homo sapiens (Human)	156	
TMEM131L	A2VDJ0	reviewed	T131L_HUMAN	Transmembrane protein 131-like	TMEM131L KIAA0922	Homo sapiens (Human)	1609	
CRPPA	A4D126	reviewed	ISPD_HUMAN	D-ribitol-5-phosphate cytidylyltransferase (EC 2.7.7.40) (2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase-like protein) (Isoprenoid synthase domain-containing protein) (hISPD)	CRPPA ISPD	Homo sapiens (Human)	451	cytidylyltransferase activity [GO:0070567]; D-ribitol-5-phosphate cytidylyltransferase activity [GO:0047349]; protein homodimerization activity [GO:0042803]
SOWAHB	A6NEL2	reviewed	SWAHB_HUMAN	Ankyrin repeat domain-containing protein SOWAHB (Ankyrin repeat domain-containing protein 56) (Protein sosondowah homolog B)	SOWAHB ANKRD56	Homo sapiens (Human)	793	
CFAP73	A6NFT4	reviewed	CFA73_HUMAN	Cilia- and flagella-associated protein 73 (Coiled-coil domain-containing protein 42B)	CFAP73 CCDC42B	Homo sapiens (Human)	308	dynein complex binding [GO:0070840]
C2orf81	A6NN90	reviewed	CB081_HUMAN	Uncharacterized protein C2orf81	C2orf81	Homo sapiens (Human)	582	
ARHGAP32	A7KAX9	reviewed	RHG32_HUMAN	Rho GTPase-activating protein 32 (Brain-specific Rho GTPase-activating protein) (GAB-associated Cdc42/Rac GTPase-activating protein) (GC-GAP) (GTPase regulator interacting with TrkA) (Rho-type GTPase-activating protein 32) (Rho/Cdc42/Rac GTPase-activating protein RICS) (RhoGAP involved in the beta-catenin-N-cadherin and NMDA receptor signaling) (p200RhoGAP) (p250GAP)	ARHGAP32 GRIT KIAA0712 RICS	Homo sapiens (Human)	2087	GTPase activator activity [GO:0005096]; phosphatidylinositol phosphate binding [GO:1901981]
ZNF689	C0HLU2	reviewed	SEHBP_HUMAN	Transcriptional regulator SEHBP (Short ORF-encoded histone-binding protein) (ZNF689 upstream open reading frame protein)	ZNF689	Homo sapiens (Human)	46	histone binding [GO:0042393]
NFKBIE	O00221	reviewed	IKBE_HUMAN	NF-kappa-B inhibitor epsilon (NF-kappa-BIE) (I-kappa-B-epsilon) (IkB-E) (IkB-epsilon) (IkappaBepsilon)	NFKBIE IKBE	Homo sapiens (Human)	500	
NFIB	O00712	reviewed	NFIB_HUMAN	Nuclear factor 1 B-type (NF1-B) (Nuclear factor 1/B) (CCAAT-box-binding transcription factor) (CTF) (Nuclear factor I/B) (NF-I/B) (NFI-B) (TGGCA-binding protein)	NFIB	Homo sapiens (Human)	420	DNA binding [GO:0003677]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific double-stranded DNA binding [GO:1990837]; transcription regulator inhibitor activity [GO:0140416]
CHD1	O14646	reviewed	CHD1_HUMAN	Chromodomain-helicase-DNA-binding protein 1 (CHD-1) (EC 3.6.4.12) (ATP-dependent helicase CHD1)	CHD1	Homo sapiens (Human)	1710	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent chromatin remodeler activity [GO:0140658]; chromatin binding [GO:0003682]; DNA binding [GO:0003677]; helicase activity [GO:0004386]; histone binding [GO:0042393]; methylated histone binding [GO:0035064]
OPLAH	O14841	reviewed	OPLA_HUMAN	5-oxoprolinase (EC 3.5.2.9) (5-oxo-L-prolinase) (5-OPase) (Pyroglutamase)	OPLAH	Homo sapiens (Human)	1288	5-oxoprolinase (ATP-hydrolyzing) activity [GO:0017168]; ATP binding [GO:0005524]; identical protein binding [GO:0042802]
TAX1BP3	O14907	reviewed	TX1B3_HUMAN	Tax1-binding protein 3 (Glutaminase-interacting protein 3) (Tax interaction protein 1) (TIP-1) (Tax-interacting protein 1)	TAX1BP3 TIP1	Homo sapiens (Human)	124	beta-catenin binding [GO:0008013]
POLR1E	O15160	reviewed	RPAC1_HUMAN	DNA-directed RNA polymerases I and III subunit RPAC1 (DNA-directed RNA polymerase I subunit C) (RNA polymerases I and III subunit AC1) (AC40) (DNA-directed RNA polymerases I and III 40 kDa polypeptide) (RPA40) (RPA39) (RPC40)	POLR1C POLR1E	Homo sapiens (Human)	346	DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; protein dimerization activity [GO:0046983]; RNA polymerase I activity [GO:0001054]; RNA polymerase III activity [GO:0001056]
VILL	O15195	reviewed	VILL_HUMAN	Villin-like protein	VILL	Homo sapiens (Human)	856	actin filament binding [GO:0051015]; phosphatidylinositol-4,5-bisphosphate binding [GO:0005546]; structural constituent of cytoskeleton [GO:0005200]
UBD	O15205	reviewed	UBD_HUMAN	Ubiquitin D (Diubiquitin) (Ubiquitin-like protein FAT10)	UBD FAT10	Homo sapiens (Human)	165	proteasome binding [GO:0070628]
POLR1G	O15446	reviewed	RPA34_HUMAN	DNA-directed RNA polymerase I subunit RPA34 (A34.5) (Antisense to ERCC-1 protein) (ASE-1) (CD3-epsilon-associated protein) (CD3E-associated protein) (DNA-directed RNA polymerase I subunit G) (RNA polymerase I-associated factor PAF49)	POLR1G ASE1 CAST CD3EAP PAF49	Homo sapiens (Human)	510	RNA binding [GO:0003723]
RNMT	O43148	reviewed	MCES_HUMAN	mRNA cap guanine-N7 methyltransferase (EC 2.1.1.56) (RG7MT1) (mRNA (guanine-N(7))-methyltransferase) (mRNA cap methyltransferase) (hCMT1) (hMet) (hcm1p)	RNMT KIAA0398	Homo sapiens (Human)	476	mRNA 5'-cap (guanine-N7-)-methyltransferase activity [GO:0004482]; RNA binding [GO:0003723]
MSH5	O43196	reviewed	MSH5_HUMAN	MutS protein homolog 5 (hMSH5)	MSH5	Homo sapiens (Human)	834	ATP binding [GO:0005524]; ATP-dependent DNA damage sensor activity [GO:0140664]; double-stranded DNA binding [GO:0003690]; mismatched DNA binding [GO:0030983]
TSPAN6	O43657	reviewed	TSN6_HUMAN	Tetraspanin-6 (Tspan-6) (A15 homolog) (Putative NF-kappa-B-activating protein 321) (T245 protein) (Tetraspanin TM4-D) (Transmembrane 4 superfamily member 6)	TSPAN6 TM4SF6 UNQ767/PRO1560	Homo sapiens (Human)	245	
PLRG1	O43660	reviewed	PLRG1_HUMAN	Pleiotropic regulator 1	PLRG1	Homo sapiens (Human)	514	
