From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (molecular function)
E2F8	A0AVK6	reviewed	E2F8_HUMAN	Transcription factor E2F8 (E2F-8)	E2F8	Homo sapiens (Human)	867	cis-regulatory region sequence-specific DNA binding [GO:0000987]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription repressor activity [GO:0001217]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; identical protein binding [GO:0042802]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific double-stranded DNA binding [GO:1990837]
SYCE3	A1L190	reviewed	SYCE3_HUMAN	Synaptonemal complex central element protein 3 (Testis highly expressed gene 2 protein) (THEG-2)	SYCE3 C22orf41 THEG2	Homo sapiens (Human)	88	
MACROD2	A1Z1Q3	reviewed	MACD2_HUMAN	ADP-ribose glycohydrolase MACROD2 (MACRO domain-containing protein 2) (O-acetyl-ADP-ribose deacetylase MACROD2) (EC 3.5.1.-) ([Protein ADP-ribosylaspartate] hydrolase MACROD2) (EC 3.2.2.-) ([Protein ADP-ribosylglutamate] hydrolase MACROD2) (EC 3.2.2.-)	MACROD2 C20orf133	Homo sapiens (Human)	425	ADP-ribosylglutamate hydrolase activity [GO:0140293]; deacetylase activity [GO:0019213]; hydrolase activity, acting on glycosyl bonds [GO:0016798]
NBAS	A2RRP1	reviewed	NBAS_HUMAN	NBAS subunit of NRZ tethering complex (Neuroblastoma-amplified gene protein) (Neuroblastoma-amplified sequence)	NBAS NAG	Homo sapiens (Human)	2371	SNARE binding [GO:0000149]
RBMY1B	A6NDE4	reviewed	RBY1B_HUMAN	RNA-binding motif protein, Y chromosome, family 1 member B	RBMY1B	Homo sapiens (Human)	496	RNA binding [GO:0003723]
RBMY1E	A6NEQ0	reviewed	RBY1E_HUMAN	RNA-binding motif protein, Y chromosome, family 1 member E	RBMY1E	Homo sapiens (Human)	496	RNA binding [GO:0003723]
ZNF860	A6NHJ4	reviewed	ZN860_HUMAN	Zinc finger protein 860	ZNF860	Homo sapiens (Human)	632	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; metal ion binding [GO:0046872]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]
FBLL1	A6NHQ2	reviewed	FBLL1_HUMAN	rRNA/tRNA 2'-O-methyltransferase fibrillarin-like protein 1 (EC 2.1.1.-) (Protein-glutamine methyltransferase)	FBLL1	Homo sapiens (Human)	334	histone H2AQ104 methyltransferase activity [GO:1990259]; RNA binding [GO:0003723]; rRNA methyltransferase activity [GO:0008649]
LRRC10B	A6NIK2	reviewed	LR10B_HUMAN	Leucine-rich repeat-containing protein 10B	LRRC10B	Homo sapiens (Human)	292	
PRR19	A6NJB7	reviewed	PRR19_HUMAN	Proline-rich protein 19	PRR19	Homo sapiens (Human)	356	
SH2D7	A6NKC9	reviewed	SH2D7_HUMAN	SH2 domain-containing protein 7	SH2D7	Homo sapiens (Human)	451	
DRGX	A6NNA5	reviewed	DRGX_HUMAN	Dorsal root ganglia homeobox protein (Paired-related homeobox protein-like 1)	DRGX PRRXL1	Homo sapiens (Human)	263	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; sequence-specific double-stranded DNA binding [GO:1990837]
C15orf61	A6NNL5	reviewed	CO061_HUMAN	Uncharacterized protein C15orf61	C15orf61	Homo sapiens (Human)	157	
EFCAB7	A8K855	reviewed	EFCB7_HUMAN	EF-hand calcium-binding domain-containing protein 7	EFCAB7 KIAA1799	Homo sapiens (Human)	629	calcium ion binding [GO:0005509]
C17orf98	A8MV24	reviewed	SPMA1_HUMAN	Sperm microtubule associated protein 1	SPMAP1 C17orf98	Homo sapiens (Human)	154	
VGLL3	A8MV65	reviewed	VGLL3_HUMAN	Transcription cofactor vestigial-like protein 3 (Vgl-3)	VGLL3	Homo sapiens (Human)	326	
LEUTX	A8MZ59	reviewed	LEUTX_HUMAN	Paired-like homeodomain transcription factor LEUTX (Leucine-twenty homeobox) (Paired-like homeobox transcription factor LEUTX) (PRD-LIKE homeobox transcription factor LEUTX)	LEUTX	Homo sapiens (Human)	198	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]
MIF4GD	A9UHW6	reviewed	MI4GD_HUMAN	MIF4G domain-containing protein (SLBP-interacting protein 1) (hSLIP1)	MIF4GD SLIP1	Homo sapiens (Human)	222	identical protein binding [GO:0042802]; RNA binding [GO:0003723]; translation activator activity [GO:0008494]
KLLN	B2CW77	reviewed	KILIN_HUMAN	Killin	KLLN	Homo sapiens (Human)	178	DNA binding [GO:0003677]
