sample,spot_id,pixels,mean_intensity,centroid_r,centroid_c,microns
Control-roi-01,1,21,0.071200049,1,969,0.03797946
Control-roi-01,2,23,0.052958758,1,1055,0.041596552
Control-roi-01,3,23,0.044684387,3,1019,0.041596552
Control-roi-01,4,20,0.038596933,5,978,0.036170915
Control-roi-01,5,9,0.031769284,4,1039,0.016276912
Control-roi-01,6,40,0.047792401,7,695,0.072341829
Control-roi-01,7,21,0.031056469,10,1060,0.03797946
Control-roi-01,8,19,0.03139102,11,683,0.034362369
Control-roi-01,9,9,0.031403067,10,1003,0.016276912
Control-roi-01,10,25,0.035655451,12,666,0.045213643
Control-roi-01,11,33,0.044819909,13,733,0.059682009
Control-roi-01,12,21,0.032654307,14,1042,0.03797946
Control-roi-01,13,26,0.038308361,24,708,0.047022189
Control-roi-01,14,55,0.046807743,28,1008,0.099470015
Control-roi-01,15,27,0.032367776,28,658,0.048830735
Control-roi-01,16,12,0.027423006,28,680,0.021702549
Control-roi-01,17,25,0.030920882,30,992,0.045213643
Control-roi-01,18,24,0.044305842,31,732,0.043405097
Control-roi-01,19,23,0.036200371,34,688,0.041596552
Control-roi-01,20,9,0.02748828,33,1043,0.016276912
Control-roi-01,21,33,0.053308087,37,671,0.059682009
Control-roi-01,22,9,0.028203759,35,710,0.016276912
Control-roi-01,23,12,0.032336411,40,701,0.021702549
Control-roi-01,24,12,0.023788815,46,657,0.021702549
Control-roi-01,25,26,0.037174499,52,671,0.047022189
Control-roi-01,26,24,0.033950688,52,728,0.043405097
Control-roi-01,27,33,0.041278429,55,1288,0.059682009
Control-roi-01,28,9,0.027288217,56,716,0.016276912
Control-roi-01,29,23,0.028716816,61,694,0.041596552
Control-roi-01,30,23,0.039958071,63,711,0.041596552
Control-roi-01,31,55,0.057775373,69,671,0.099470015
Control-roi-01,32,15,0.028373643,71,1286,0.027128186
Control-roi-01,33,15,0.026250604,78,1306,0.027128186
Control-roi-01,34,27,0.039085702,79,1297,0.048830735
Control-roi-01,35,44,0.063928366,90,270,0.079576012
Control-roi-01,36,34,0.038778111,92,1420,0.061490555
Control-roi-01,37,23,0.034883451,93,1405,0.041596552
Control-roi-01,38,20,0.045049973,96,1304,0.036170915
Control-roi-01,39,35,0.044983161,99,1296,0.063299101
Control-roi-01,40,15,0.024522265,104,1409,0.027128186
Control-roi-01,41,46,0.056016533,111,140,0.083193104
Control-roi-01,42,16,0.027483406,110,122,0.028936732
Control-roi-01,43,91,0.062456015,117,160,0.164577661
Control-roi-01,44,35,0.041576039,118,1394,0.063299101
